"Step","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness__MIN","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness__MAX"
"593","-63","-63","-63"
"594","-61","-61","-61"
"595","-59","-59","-59"
"596","-63","-63","-63"
"597","-61","-61","-61"
"598","-59","-59","-59"
"599","-64","-64","-64"
"600","-62","-62","-62"
"601","-63","-63","-63"
"602","-62","-62","-62"
"603","-63","-63","-63"
"604","-63","-63","-63"
"605","-69","-69","-69"
"606","-61","-61","-61"
"607","-63","-63","-63"
"608","-61","-61","-61"
"609","-62","-62","-62"
"610","-63","-63","-63"
"611","-63","-63","-63"
"612","-62","-62","-62"
"613","-64","-64","-64"
"614","-63","-63","-63"
"615","-66","-66","-66"
"616","-63","-63","-63"
"617","-63","-63","-63"
"618","-63","-63","-63"
"619","-64","-64","-64"
"620","-63","-63","-63"
"621","-62","-62","-62"
"622","-65","-65","-65"
"623","-62","-62","-62"
"624","-63","-63","-63"
"625","-63","-63","-63"
"626","-63","-63","-63"
"627","-63","-63","-63"
"628","-62","-62","-62"
"629","-63","-63","-63"
"630","-65","-65","-65"
"631","-62","-62","-62"
"632","-63","-63","-63"
"633","-63","-63","-63"
"634","-62","-62","-62"
"635","-62","-62","-62"
"636","-62","-62","-62"
"637","-62","-62","-62"
"638","-64","-64","-64"
"639","-64","-64","-64"
"640","-65","-65","-65"
"641","-64","-64","-64"
"642","-62","-62","-62"
"643","-62","-62","-62"
"644","-63","-63","-63"
"645","-63","-63","-63"
"646","-63","-63","-63"
"647","-62","-62","-62"
"648","-61","-61","-61"
"649","-61","-61","-61"
"650","-62","-62","-62"
"651","-61","-61","-61"
"652","-61","-61","-61"
"653","-58","-58","-58"
"654","-62","-62","-62"
"655","-63","-63","-63"
"656","-63","-63","-63"
"657","-69","-69","-69"
"658","-62","-62","-62"
"659","-64","-64","-64"
"660","-60","-60","-60"
"661","-62","-62","-62"
"662","-64","-64","-64"
"663","-63","-63","-63"
"664","-60","-60","-60"
"665","-63","-63","-63"
"666","-63","-63","-63"
"667","-61","-61","-61"
"668","-64","-64","-64"
"669","-63","-63","-63"
"670","-63","-63","-63"
"671","-62","-62","-62"
"672","-62","-62","-62"
"673","-62","-62","-62"
"674","-61","-61","-61"
"675","-64","-64","-64"
"676","-62","-62","-62"
"677","-64","-64","-64"
"678","-64","-64","-64"
"679","-62","-62","-62"
"680","-62","-62","-62"
"681","-64","-64","-64"
"682","-64","-64","-64"
"683","-63","-63","-63"
"684","-64","-64","-64"
"685","-63","-63","-63"
"686","-64","-64","-64"
"687","-64","-64","-64"
"688","-60","-60","-60"
"689","-63","-63","-63"
"690","-61","-61","-61"
"691","-63","-63","-63"
"692","-63","-63","-63"
"693","-68","-68","-68"
"694","-61","-61","-61"
"695","-58","-58","-58"
"696","-62","-62","-62"
"697","-62","-62","-62"
"698","-61","-61","-61"
"699","-63","-63","-63"
"700","-63","-63","-63"
"701","-62","-62","-62"
"702","-62","-62","-62"
"703","-63","-63","-63"
"704","-62","-62","-62"
"705","-63","-63","-63"
"706","-64","-64","-64"
"707","-64","-64","-64"
"708","-64","-64","-64"
"709","-63","-63","-63"
"710","-63","-63","-63"
"711","-62","-62","-62"
"712","-62","-62","-62"
"713","-61","-61","-61"
"714","-64","-64","-64"
"715","-63","-63","-63"
"716","-62","-62","-62"
"717","-62","-62","-62"
"718","-60","-60","-60"
"719","-62","-62","-62"
"720","-62","-62","-62"
"721","-63","-63","-63"
"722","-62","-62","-62"
"723","-62","-62","-62"
"724","-61","-61","-61"
"725","-61","-61","-61"
"726","-61","-61","-61"
"727","-62","-62","-62"
"728","-62","-62","-62"
"729","-64","-64","-64"
"730","-63","-63","-63"
"731","-62","-62","-62"
"732","-66","-66","-66"
"733","-62","-62","-62"
"734","-63","-63","-63"
"735","-61","-61","-61"
"736","-62","-62","-62"
"737","-61","-61","-61"
"738","-68","-68","-68"
"739","-63","-63","-63"
"740","-63","-63","-63"
"741","-62","-62","-62"
"742","-63","-63","-63"
"743","-64","-64","-64"
"744","-62","-62","-62"
"745","-65","-65","-65"
"746","-63","-63","-63"
"747","-64","-64","-64"
"748","-64","-64","-64"
"749","-65","-65","-65"
"750","-64","-64","-64"
"751","-63","-63","-63"
"752","-62","-62","-62"
"753","-61","-61","-61"
"754","-63","-63","-63"
"755","-61","-61","-61"
"756","-66","-66","-66"
"757","-66","-66","-66"
"758","-62","-62","-62"
"759","-64","-64","-64"
"760","-62","-62","-62"
"761","-63","-63","-63"
"762","-62","-62","-62"
"763","-61","-61","-61"
"764","-61","-61","-61"
"765","-64","-64","-64"
"766","-62","-62","-62"
"767","-64","-64","-64"
"768","-61","-61","-61"
"769","-61","-61","-61"
"770","-61","-61","-61"
"771","-64","-64","-64"
"772","-63","-63","-63"
"773","-63","-63","-63"
"774","-60","-60","-60"
"775","-62","-62","-62"
"776","-63","-63","-63"
"777","-63","-63","-63"
"778","-62","-62","-62"
"779","-62","-62","-62"
"780","-62","-62","-62"
"781","-64","-64","-64"
"782","-63","-63","-63"
"783","-63","-63","-63"
"784","-62","-62","-62"
"785","-65","-65","-65"
"786","-62","-62","-62"
