"Step","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 0.1, 'elite_ratio': 0.5} - current_best_fitness","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 0.1, 'elite_ratio': 0.5} - current_best_fitness__MIN","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 0.1, 'elite_ratio': 0.5} - current_best_fitness__MAX"
"593","-63","-63","-63"
"594","-64","-64","-64"
"595","-64","-64","-64"
"596","-64","-64","-64"
"597","-63","-63","-63"
"598","-64","-64","-64"
"599","-64","-64","-64"
"600","-200","-200","-200"
"601","-200","-200","-200"
"602","-200","-200","-200"
"603","-200","-200","-200"
"604","-200","-200","-200"
"605","-200","-200","-200"
"606","-129","-129","-129"
"607","-200","-200","-200"
"608","-200","-200","-200"
"609","-200","-200","-200"
"610","-200","-200","-200"
"611","-200","-200","-200"
"612","-200","-200","-200"
"613","-200","-200","-200"
"614","-200","-200","-200"
"615","-200","-200","-200"
"616","-200","-200","-200"
"617","-200","-200","-200"
"618","-200","-200","-200"
"619","-200","-200","-200"
"620","-200","-200","-200"
"621","-200","-200","-200"
"622","-200","-200","-200"
"623","-200","-200","-200"
"624","-200","-200","-200"
"625","-200","-200","-200"
"626","-92","-92","-92"
"627","-200","-200","-200"
"628","-200","-200","-200"
"629","-200","-200","-200"
"630","-200","-200","-200"
"631","-200","-200","-200"
"632","-200","-200","-200"
"633","-200","-200","-200"
"634","-200","-200","-200"
"635","-200","-200","-200"
"636","-200","-200","-200"
"637","-200","-200","-200"
"638","-200","-200","-200"
"639","-200","-200","-200"
"640","-139","-139","-139"
"641","-200","-200","-200"
"642","-200","-200","-200"
"643","-200","-200","-200"
"644","-200","-200","-200"
"645","-122","-122","-122"
"646","-92","-92","-92"
"647","-119","-119","-119"
"648","-200","-200","-200"
"649","-200","-200","-200"
"650","-200","-200","-200"
"651","-200","-200","-200"
"652","-200","-200","-200"
"653","-114","-114","-114"
"654","-200","-200","-200"
"655","-200","-200","-200"
"656","-200","-200","-200"
"657","-88","-88","-88"
"658","-136","-136","-136"
"659","-200","-200","-200"
"660","-200","-200","-200"
"661","-200","-200","-200"
"662","-200","-200","-200"
"663","-109","-109","-109"
"664","-89","-89","-89"
"665","-200","-200","-200"
"666","-200","-200","-200"
"667","-200","-200","-200"
"668","-200","-200","-200"
"669","-200","-200","-200"
"670","-134","-134","-134"
"671","-200","-200","-200"
"672","-115","-115","-115"
"673","-82","-82","-82"
"674","-97","-97","-97"
"675","-153","-153","-153"
"676","-94","-94","-94"
"677","-200","-200","-200"
"678","-200","-200","-200"
"679","-190","-190","-190"
"680","-200","-200","-200"
"681","-106","-106","-106"
"682","-200","-200","-200"
"683","-99","-99","-99"
"684","-91","-91","-91"
"685","-115","-115","-115"
"686","-90","-90","-90"
"687","-97","-97","-97"
"688","-174","-174","-174"
"689","-79","-79","-79"
"690","-83","-83","-83"
"691","-95","-95","-95"
"692","-86","-86","-86"
"693","-80","-80","-80"
"694","-74","-74","-74"
"695","-85","-85","-85"
"696","-75","-75","-75"
"697","-80","-80","-80"
"698","-79","-79","-79"
"699","-75","-75","-75"
