"Step","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 0.1, 'elite_ratio': 0.5} - current_best_fitness","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 0.1, 'elite_ratio': 0.5} - current_best_fitness__MIN","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 0.1, 'elite_ratio': 0.5} - current_best_fitness__MAX"
"868","-61","-61","-61"
"869","-61","-61","-61"
"870","-61","-61","-61"
"871","-61","-61","-61"
"872","-62","-62","-62"
"873","-61","-61","-61"
"874","-62","-62","-62"
"875","-61","-61","-61"
"876","-60","-60","-60"
"877","-61","-61","-61"
"878","-61","-61","-61"
"879","-61","-61","-61"
"880","-61","-61","-61"
"881","-61","-61","-61"
"882","-61","-61","-61"
"883","-61","-61","-61"
"884","-61","-61","-61"
"885","-62","-62","-62"
"886","-60","-60","-60"
"887","-61","-61","-61"
"888","-61","-61","-61"
"889","-61","-61","-61"
"890","-62","-62","-62"
"891","-61","-61","-61"
"892","-62","-62","-62"
"893","-61","-61","-61"
"894","-61","-61","-61"
"895","-61","-61","-61"
"896","-60","-60","-60"
"897","-61","-61","-61"
"898","-61","-61","-61"
"899","-61","-61","-61"
"900","-61","-61","-61"
"901","-61","-61","-61"
"902","-61","-61","-61"
"903","-61","-61","-61"
"904","-61","-61","-61"
"905","-62","-62","-62"
"906","-60","-60","-60"
"907","-61","-61","-61"
"908","-62","-62","-62"
"909","-61","-61","-61"
"910","-61","-61","-61"
"911","-61","-61","-61"
"912","-61","-61","-61"
"913","-61","-61","-61"
"914","-62","-62","-62"
"915","-62","-62","-62"
"916","-61","-61","-61"
"917","-61","-61","-61"
"918","-61","-61","-61"
"919","-61","-61","-61"
"920","-62","-62","-62"
"921","-61","-61","-61"
"922","-61","-61","-61"
"923","-60","-60","-60"
"924","-60","-60","-60"
"925","-61","-61","-61"
"926","-61","-61","-61"
"927","-61","-61","-61"
"928","-61","-61","-61"
"929","-61","-61","-61"
"930","-61","-61","-61"
"931","-61","-61","-61"
"932","-61","-61","-61"
"933","-61","-61","-61"
"934","-60","-60","-60"
"935","-61","-61","-61"
"936","-60","-60","-60"
"937","-61","-61","-61"
"938","-61","-61","-61"
"939","-60","-60","-60"
"940","-61","-61","-61"
"941","-61","-61","-61"
"942","-61","-61","-61"
"943","-60","-60","-60"
"944","-60","-60","-60"
"945","-61","-61","-61"
"946","-61","-61","-61"
"947","-61","-61","-61"
"948","-62","-62","-62"
"949","-62","-62","-62"
"950","-61","-61","-61"
"951","-61","-61","-61"
"952","-61","-61","-61"
"953","-62","-62","-62"
"954","-61","-61","-61"
"955","-61","-61","-61"
"956","-61","-61","-61"
"957","-62","-62","-62"
"958","-61","-61","-61"
"959","-60","-60","-60"
"960","-61","-61","-61"
"961","-62","-62","-62"
"962","-60","-60","-60"
"963","-62","-62","-62"
"964","-61","-61","-61"
"965","-60","-60","-60"
"966","-61","-61","-61"
"967","-61","-61","-61"
"968","-61","-61","-61"
"969","-62","-62","-62"
"970","-60","-60","-60"
"971","-61","-61","-61"
"972","-61","-61","-61"
"973","-61","-61","-61"
"974","-60","-60","-60"
"975","-61","-61","-61"
"976","-61","-61","-61"
"977","-61","-61","-61"
"978","-61","-61","-61"
"979","-62","-62","-62"
"980","-61","-61","-61"
"981","-61","-61","-61"
"982","-61","-61","-61"
"983","-60","-60","-60"
"984","-62","-62","-62"
"985","-61","-61","-61"
"986","-61","-61","-61"
"987","-61","-61","-61"
"988","-60","-60","-60"
"989","-61","-61","-61"
"990","-60","-60","-60"
"991","-61","-61","-61"
"992","-61","-61","-61"
"993","-62","-62","-62"
"994","-61","-61","-61"
"995","-60","-60","-60"
"996","-61","-61","-61"
"997","-60","-60","-60"
"998","-61","-61","-61"
"999","-61","-61","-61"
"1000","-61","-61","-61"
"1001","-62","-62","-62"
"1002","-60","-60","-60"
