"Step","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness__MIN","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness__MAX"
"906","-59","-59","-59"
"907","-59","-59","-59"
"908","-60","-60","-60"
"909","-66","-66","-66"
"910","-59","-59","-59"
"911","-59","-59","-59"
"912","-60","-60","-60"
"913","-58","-58","-58"
"914","-60","-60","-60"
"915","-59","-59","-59"
"916","-59","-59","-59"
"917","-60","-60","-60"
"918","-62","-62","-62"
"919","-59","-59","-59"
"920","-62","-62","-62"
"921","-59","-59","-59"
"922","-59","-59","-59"
"923","-59","-59","-59"
"924","-61","-61","-61"
"925","-59","-59","-59"
"926","-59","-59","-59"
"927","-59","-59","-59"
"928","-59","-59","-59"
"929","-59","-59","-59"
"930","-59","-59","-59"
"931","-59","-59","-59"
"932","-60","-60","-60"
"933","-59","-59","-59"
"934","-59","-59","-59"
"935","-60","-60","-60"
"936","-59","-59","-59"
"937","-59","-59","-59"
"938","-59","-59","-59"
"939","-61","-61","-61"
"940","-59","-59","-59"
"941","-59","-59","-59"
"942","-60","-60","-60"
"943","-62","-62","-62"
"944","-59","-59","-59"
"945","-59","-59","-59"
"946","-61","-61","-61"
"947","-59","-59","-59"
"948","-60","-60","-60"
"949","-59","-59","-59"
"950","-60","-60","-60"
"951","-59","-59","-59"
"952","-60","-60","-60"
"953","-59","-59","-59"
"954","-59","-59","-59"
"955","-60","-60","-60"
"956","-59","-59","-59"
"957","-59","-59","-59"
"958","-59","-59","-59"
"959","-61","-61","-61"
"960","-59","-59","-59"
"961","-60","-60","-60"
"962","-60","-60","-60"
"963","-61","-61","-61"
"964","-59","-59","-59"
"965","-60","-60","-60"
"966","-65","-65","-65"
"967","-62","-62","-62"
"968","-59","-59","-59"
"969","-60","-60","-60"
"970","-60","-60","-60"
"971","-59","-59","-59"
"972","-59","-59","-59"
"973","-60","-60","-60"
"974","-58","-58","-58"
"975","-60","-60","-60"
"976","-57","-57","-57"
"977","-61","-61","-61"
"978","-59","-59","-59"
"979","-61","-61","-61"
"980","-59","-59","-59"
"981","-62","-62","-62"
"982","-59","-59","-59"
"983","-59","-59","-59"
"984","-59","-59","-59"
