"Step","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 1.0} - current_best_fitness","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 1.0} - current_best_fitness__MIN","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 1.0} - current_best_fitness__MAX"
"1223","16","16","16"
"1224","16","16","16"
"1225","17","17","17"
"1226","13","13","13"
"1227","17","17","17"
"1228","15","15","15"
"1229","15","15","15"
"1230","15","15","15"
"1231","16","16","16"
"1232","13","13","13"
"1233","16","16","16"
"1234","14","14","14"
"1235","14","14","14"
"1236","13","13","13"
"1237","14","14","14"
"1238","17","17","17"
"1239","16","16","16"
"1240","16","16","16"
"1241","16","16","16"
"1242","16","16","16"
"1243","17","17","17"
"1244","15","15","15"
"1245","13","13","13"
"1246","16","16","16"
"1247","15","15","15"
"1248","15","15","15"
"1249","13","13","13"
"1250","16","16","16"
"1251","13","13","13"
"1252","15","15","15"
"1253","16","16","16"
"1254","14","14","14"
"1255","15","15","15"
"1256","13","13","13"
"1257","14","14","14"
"1258","14","14","14"
"1259","15","15","15"
"1260","13","13","13"
"1261","16","16","16"
"1262","13","13","13"
"1263","18","18","18"
"1264","13","13","13"
"1265","16","16","16"
"1266","16","16","16"
"1267","15","15","15"
"1268","16","16","16"
"1269","15","15","15"
"1270","17","17","17"
"1271","13","13","13"
"1272","16","16","16"
"1273","14","14","14"
"1274","17","17","17"
"1275","15","15","15"
"1276","16","16","16"
"1277","17","17","17"
"1278","17","17","17"
"1279","15","15","15"
"1280","14","14","14"
"1281","14","14","14"
"1282","17","17","17"
"1283","13","13","13"
"1284","17","17","17"
"1285","14","14","14"
"1286","13","13","13"
"1287","14","14","14"
"1288","16","16","16"
"1289","15","15","15"
"1290","17","17","17"
"1291","15","15","15"
